T	<M>	M_Var	<M^2>	M^2_Var	<E>	E_Var	<E^2>	E^2_Var	X	C_v
1	2109.97	0	4.45197e+06	0	-13753.5	0	1.89159e+08	0	0	0
1.5	2109.97	0.00133955	4.45197e+06	23832	-13753.5	0.192895	1.89159e+08	1.45697e+08	1.82884	4.1861e-05
2	2109.94	0.0509692	4.45186e+06	906774	-13758.5	9.25333	1.89297e+08	6.99652e+09	52.1927	0.00112956
2.5	2109.69	0.556975	4.4508e+06	9.90645e+06	-13767.7	222.947	1.89549e+08	1.68942e+11	456.276	0.0174178
3	2108.59	2.81261	4.44614e+06	4.99718e+07	-14049.9	20084.1	1.9742e+08	1.58057e+13	1920.08	1.08964
3.5	2105.56	8.98935	4.43339e+06	1.59255e+08	-16377.6	1.40607e+06	2.69632e+08	1.50172e+15	5260.08	56.0457
4	2099.36	22.1857	4.40732e+06	3.90712e+08	-27220.6	2.57176e+07	7.66679e+08	7.66198e+16	11359.1	784.842
4.5	2088.7	45.6665	4.36271e+06	7.96032e+08	-66665.2	2.99941e+08	4.7442e+09	5.38769e+18	20783.4	7232.41
5	2072.4	83.9425	4.29492e+06	1.44033e+09	-176438	2.01573e+09	3.31462e+10	2.53259e+20	34383	39369.9
5.5	2049.2	144.103	4.19938e+06	2.41722e+09	-433055	1.03391e+10	1.97876e+11	7.85149e+21	53658.9	166890
6	2018.14	230.11	4.07312e+06	3.7431e+09	-967235	4.14051e+10	9.76949e+11	1.56671e+23	78544.8	561596
6.5	1978.13	354.931	3.91335e+06	5.54523e+09	-1.97722e+06	1.37789e+11	4.04718e+12	2.16799e+24	111831	1.59243e+06
7	1927.69	529.953	3.71653e+06	7.86089e+09	-3.72162e+06	3.90485e+11	1.4241e+13	2.17636e+25	155050	3.89117e+06
7.5	1865.95	776.259	3.48253e+06	1.07836e+10	-6.56947e+06	9.94272e+11	4.41523e+13	1.72436e+26	211971	8.63088e+06
8	1791.13	1127.87	3.20927e+06	1.44277e+10	-1.09805e+07	2.29766e+12	1.22868e+14	1.11201e+27	288736	1.75298e+07
8.5	1702.07	1610.31	2.89867e+06	1.85858e+10	-1.74982e+07	4.84501e+12	3.11033e+14	5.95204e+27	387993	3.27438e+07
9	1598.64	2268.31	2.5579e+06	2.30737e+10	-2.67161e+07	9.38031e+12	7.23129e+14	2.68444e+28	516169	5.65463e+07
9.5	1479.69	3109.69	2.19259e+06	2.70564e+10	-3.92683e+07	1.68123e+13	1.55881e+15	1.0388e+29	670387	9.09601e+07
10	1349.04	4101.69	1.82401e+06	2.96438e+10	-5.56629e+07	2.7688e+13	3.12605e+15	3.43664e+29	840031	1.35196e+08
10.5	1212.16	5136.3	1.47448e+06	2.99596e+10	-7.61075e+07	4.12237e+13	5.83358e+15	9.56681e+29	1.00183e+06	1.82575e+08
11	1077.45	5974.25	1.16686e+06	2.75052e+10	-1.00445e+08	5.58405e+13	1.01451e+16	2.25565e+30	1.1123e+06	2.25339e+08
11.5	951.697	6566.16	912294	2.36201e+10	-1.28152e+08	6.99575e+13	1.64929e+16	4.60001e+30	1.16935e+06	2.58292e+08
12	842.505	6894.18	716709	1.94613e+10	-1.58612e+08	8.1607e+13	2.52393e+16	8.21727e+30	1.17661e+06	2.76718e+08
12.5	747.358	6918	565462	1.54122e+10	-1.91025e+08	9.01536e+13	3.65805e+16	1.3165e+31	1.13345e+06	2.81731e+08
13	668.856	6753.15	454122	1.20569e+10	-2.24769e+08	9.58823e+13	5.06171e+16	1.93831e+31	1.06389e+06	2.77028e+08
13.5	603.451	6526.14	370679	9.51754e+09	-2.59321e+08	9.94635e+13	6.73466e+16	2.67621e+31	990045	2.66482e+08
14	549.134	6284.65	307833	7.60345e+09	-2.94274e+08	1.00405e+14	8.66977e+16	3.47881e+31	919359	2.50133e+08
14.5	503.217	5951.29	259179	6.0681e+09	-3.29345e+08	1.00222e+14	1.08568e+17	4.34897e+31	840573	2.32756e+08
15	464.202	5763.3	221246	5.00325e+09	-3.64283e+08	9.94809e+13	1.32802e+17	5.28176e+31	786886	2.15888e+08
15.5	432.657	5558.45	192751	4.19757e+09	-3.99047e+08	9.77758e+13	1.59336e+17	6.22825e+31	734436	1.98719e+08
16	403.634	5331.42	168252	3.50506e+09	-4.33396e+08	9.53827e+13	1.87927e+17	7.16746e+31	682425	1.81929e+08
16.5	379.052	5096.56	148777	2.96723e+09	-4.67375e+08	9.30503e+13	2.18532e+17	8.13092e+31	632594	1.66887e+08
17	357.615	4948.37	132837	2.5713e+09	-5.00913e+08	9.06971e+13	2.51005e+17	9.10363e+31	596136	1.53239e+08
17.5	339.459	4789.32	120022	2.24714e+09	-5.33993e+08	8.8013e+13	2.85237e+17	1.00395e+32	560490	1.40328e+08
18	322.652	4639.33	108744	1.96907e+09	-5.6654e+08	8.48796e+13	3.21052e+17	1.0898e+32	527856	1.27918e+08
18.5	307.65	4537.83	99186.1	1.75287e+09	-5.9859e+08	8.28369e+13	3.58393e+17	1.18732e+32	502352	1.18182e+08
19	294.081	4385.1	90868.5	1.5503e+09	-6.30145e+08	8.00236e+13	3.97162e+17	1.2711e+32	472670	1.08239e+08
19.5	282.545	4279.1	84110.6	1.40257e+09	-6.61155e+08	7.69749e+13	4.37203e+17	1.34592e+32	449418	9.88444e+07
20	271.609	4181.18	77952.8	1.26653e+09	-6.91599e+08	7.46409e+13	4.78384e+17	1.42812e+32	428155	9.11148e+07
