T	<M>	M_Var	<M^2>	M^2_Var	<E>	E_Var	<E^2>	E^2_Var	X	C_v
1	375.776	0.608942	141209	341838	52135.1	8.96371e+08	3.61444e+09	1.03632e+19	243.578	2.24094e+06
1.25	374.541	3.51724	140284	1.95953e+06	375198	2.36708e+10	1.64444e+11	1.37727e+22	1125.52	3.78734e+07
1.5	371.166	12.8243	137777	7.00154e+06	1.45488e+06	2.1307e+11	2.32974e+12	1.84264e+24	3419.84	2.36746e+08
1.75	364.08	37.9217	132592	1.98248e+07	4.06954e+06	1.0526e+12	1.76138e+13	7.05891e+25	8667.87	8.59266e+08
2	351.103	103.275	123376	4.96882e+07	9.14302e+06	3.48926e+12	8.70841e+13	1.17669e+27	20655.2	2.1808e+09
2.25	327.494	386.453	107639	1.36309e+08	1.75988e+07	8.73441e+12	3.1845e+14	1.0882e+28	68703.1	4.31331e+09
2.5	66.8914	84542.3	89017.2	7.16511e+08	3.00774e+07	1.73745e+13	9.22027e+14	6.31129e+28	1.35268e+07	6.94981e+09
2.75	-8.49452	38354.6	38426.9	8.53047e+08	4.67226e+07	2.85035e+13	2.2115e+15	2.49561e+29	5.57888e+06	9.42268e+09
3	-21.7649	12397.6	12871.4	2.32809e+08	6.75958e+07	4.31759e+13	4.61237e+15	7.90544e+29	1.65302e+06	1.19934e+10
3.25	-24.4824	6246.01	6845.43	8.20204e+07	9.28676e+07	6.17706e+13	8.68617e+15	2.13394e+30	768744	1.46203e+10
3.5	-23.5466	3966.2	4520.66	3.695e+07	1.22602e+08	8.31972e+13	1.51144e+16	5.00757e+30	453282	1.69791e+10
3.75	-23.658	2943.63	3503.35	2.28496e+07	1.56669e+08	1.06979e+14	2.4652e+16	1.05122e+31	313989	1.90187e+10
4	-23.9416	2343.85	2917.07	1.58693e+07	1.94873e+08	1.31906e+14	3.81074e+16	2.00506e+31	234386	2.06105e+10
4.25	-24.1617	1976.71	2560.51	1.21222e+07	2.36998e+08	1.58355e+14	5.63266e+16	3.55975e+31	186045	2.19177e+10
4.5	-24.3502	1694.4	2287.34	9.58205e+06	2.82824e+08	1.84977e+14	8.01743e+16	5.9213e+31	150614	2.28368e+10
4.75	-24.1709	1524.22	2108.46	8.00277e+06	3.32162e+08	2.12852e+14	1.10545e+17	9.3976e+31	128356	2.35848e+10
5	-23.852	1377.3	1946.22	6.81389e+06	3.84824e+08	2.3982e+14	1.48329e+17	1.42102e+32	110184	2.39822e+10
5.25	-24.1113	1256.56	1837.92	5.98936e+06	4.40543e+08	2.67738e+14	1.94346e+17	2.07909e+32	95738.1	2.42848e+10
5.5	-24.0955	1175.32	1755.92	5.46453e+06	4.9924e+08	2.9551e+14	2.49537e+17	2.9469e+32	85478.1	2.44225e+10
5.75	-23.8271	1103.46	1671.2	4.91708e+06	5.60783e+08	3.23219e+14	3.148e+17	4.06655e+32	76762.9	2.44401e+10
6	-24.1636	1044.05	1627.93	4.58625e+06	6.24977e+08	3.50062e+14	3.90946e+17	5.47031e+32	69603.8	2.431e+10
6.25	-23.9028	991.334	1562.68	4.18303e+06	6.91681e+08	3.76674e+14	4.78799e+17	7.20951e+32	63445.7	2.41073e+10
6.5	-23.7648	940.811	1505.58	3.8713e+06	7.60733e+08	4.02371e+14	5.79117e+17	9.31571e+32	57896.4	2.3809e+10
6.75	-23.9736	913.98	1488.72	3.75378e+06	8.32033e+08	4.28148e+14	6.92707e+17	1.18575e+33	54162	2.34925e+10
7	-24.0437	875.242	1453.34	3.5569e+06	9.05529e+08	4.53971e+14	8.20436e+17	1.48914e+33	50014.1	2.31619e+10
7.25	-24.1215	850.186	1432.03	3.43993e+06	9.81067e+08	4.78239e+14	9.6297e+17	1.84139e+33	46907.1	2.27463e+10
7.5	-23.9559	825.071	1398.96	3.244e+06	1.05852e+09	5.02204e+14	1.12096e+18	2.25103e+33	44004	2.23203e+10
7.75	-23.7853	796.44	1362.19	3.06932e+06	1.13781e+09	5.25308e+14	1.29514e+18	2.72056e+33	41106.8	2.18652e+10
8	-24.1473	781.256	1364.35	3.02216e+06	1.2189e+09	5.487e+14	1.48627e+18	3.26108e+33	39063	2.14337e+10
8.25	-23.926	756.482	1328.94	2.85917e+06	1.30168e+09	5.70588e+14	1.69493e+18	3.86735e+33	36678.1	2.09583e+10
8.5	-24.0418	740.953	1318.97	2.79857e+06	1.38604e+09	5.9263e+14	1.92171e+18	4.5543e+33	34868.5	2.05063e+10
8.75	-23.9629	720.752	1294.98	2.68768e+06	1.47196e+09	6.13885e+14	2.16728e+18	5.32069e+33	32948.8	2.00453e+10
9	-23.9508	712.703	1286.35	2.6387e+06	1.55938e+09	6.34209e+14	2.4323e+18	6.16904e+33	31675.9	1.95744e+10
9.25	-23.8725	704.587	1274.49	2.57807e+06	1.6482e+09	6.54554e+14	2.71721e+18	7.11287e+33	30468.8	1.91251e+10
9.5	-23.9523	687.634	1261.35	2.5125e+06	1.73842e+09	6.74546e+14	3.02279e+18	8.15458e+33	28953.1	1.86856e+10
9.75	-23.7857	679.442	1245.2	2.45024e+06	1.82991e+09	6.92792e+14	3.34925e+18	9.27976e+33	27874.7	1.82195e+10
10	-23.8924	662.986	1233.84	2.37162e+06	1.92262e+09	7.11558e+14	3.6972e+18	1.05214e+34	26519.6	1.7789e+10
