T	<M>	M_Var	<M^2>	M^2_Var	<E>	E_Var	<E^2>	E^2_Var	X	C_v
1	-381.762	0.603132	145743	349517	103702	3.62522e+09	1.43793e+10	1.66567e+20	241.254	9.06308e+06
1.25	-380.523	3.52682	144802	2.02811e+06	745919	9.46694e+10	6.51065e+11	2.17696e+23	1128.58	1.51471e+08
1.5	-377.144	12.8039	142250	7.21936e+06	2.89744e+06	8.57027e+11	9.25221e+12	2.93597e+25	3414.39	9.52255e+08
1.75	-370.067	37.8364	136988	2.04476e+07	8.08872e+06	4.20445e+12	6.96319e+13	1.11464e+27	8648.33	3.43221e+09
2	-357.118	102.741	127636	5.11801e+07	1.81723e+07	1.39288e+13	3.44162e+14	1.85536e+28	20548.3	8.7055e+09
2.25	-333.62	335.467	111638	1.35583e+08	3.49662e+07	3.48811e+13	1.25751e+15	1.71554e+29	59638.8	1.72253e+10
2.5	5.45215	92500.5	92530.5	6.71381e+08	5.97824e+07	6.95309e+13	3.64347e+15	9.97835e+29	1.48001e+07	2.78124e+10
2.75	10.8563	38181.4	38299.4	8.37599e+08	9.2863e+07	1.13677e+14	8.73721e+15	3.93207e+30	5.55368e+06	3.75794e+10
3	17.7688	12487.8	12803.5	2.275e+08	1.34342e+08	1.72923e+14	1.82208e+16	1.25073e+31	1.66504e+06	4.80342e+10
3.25	17.5974	6178.96	6488.64	7.26088e+07	1.84616e+08	2.47212e+14	3.43305e+16	3.37552e+31	760489	5.85119e+10
3.5	18.2019	4006.62	4337.94	3.44345e+07	2.43808e+08	3.33337e+14	5.97756e+16	7.93454e+31	457901	6.80282e+10
3.75	18.2558	2937.03	3270.32	1.99644e+07	3.11621e+08	4.27881e+14	9.75356e+16	1.66346e+32	313284	7.6068e+10
4	18.0283	2363.91	2688.93	1.37099e+07	3.87643e+08	5.27773e+14	1.50795e+17	3.17453e+32	236391	8.24647e+10
4.25	18.0093	1984.12	2308.46	1.019e+07	4.71438e+08	6.32746e+14	2.22887e+17	5.62857e+32	186741	8.75775e+10
4.5	18.164	1707.49	2037.43	7.84529e+06	5.62634e+08	7.41033e+14	3.17298e+17	9.38767e+32	151777	9.14858e+10
4.75	17.9338	1517.23	1838.86	6.5098e+06	6.60826e+08	8.50778e+14	4.37542e+17	1.48666e+33	127767	9.42692e+10
5	18.04	1376.23	1701.68	5.49033e+06	7.65599e+08	9.61621e+14	5.87103e+17	2.2553e+33	110099	9.61624e+10
5.25	17.9334	1264.55	1586.16	4.76187e+06	8.76563e+08	1.0713e+15	7.69435e+17	3.29351e+33	96347	9.71702e+10
5.5	17.8062	1168.41	1485.47	4.14802e+06	9.93433e+08	1.18179e+15	9.88091e+17	4.66635e+33	84975.4	9.76689e+10
5.75	17.7987	1096.83	1413.62	3.74866e+06	1.11584e+09	1.29143e+15	1.24639e+18	6.43324e+33	76301.2	9.7651e+10
6	17.9243	1042.43	1363.71	3.47183e+06	1.24354e+09	1.39952e+15	1.54778e+18	8.65829e+33	69495.6	9.71888e+10
6.25	17.7651	989.434	1305.04	3.20479e+06	1.37621e+09	1.50558e+15	1.89547e+18	1.14079e+34	63323.9	9.63573e+10
6.5	18.0988	940.205	1267.77	2.99254e+06	1.51362e+09	1.61059e+15	2.29265e+18	1.47618e+34	57858.9	9.53016e+10
6.75	17.9951	910.524	1234.35	2.81935e+06	1.65555e+09	1.71345e+15	2.74257e+18	1.87875e+34	53957.1	9.40165e+10
7	18.0531	877.569	1203.49	2.65655e+06	1.80173e+09	1.81271e+15	3.24806e+18	2.35406e+34	50146.9	9.24853e+10
7.25	17.961	845.333	1167.93	2.49082e+06	1.95199e+09	1.91274e+15	3.81216e+18	2.91552e+34	46639.2	9.09749e+10
7.5	18.0056	823.55	1147.75	2.4249e+06	2.10614e+09	2.00829e+15	4.43783e+18	3.56371e+34	43922.8	8.92576e+10
7.75	17.8565	800.417	1119.27	2.28743e+06	2.264e+09	2.10383e+15	5.12779e+18	4.31381e+34	41312	8.75687e+10
8	17.9505	775.797	1098.02	2.18329e+06	2.42537e+09	2.19288e+15	5.8846e+18	5.16015e+34	38789.9	8.56598e+10
8.25	17.8341	757.855	1075.91	2.12304e+06	2.59006e+09	2.28448e+15	6.7107e+18	6.13052e+34	36744.6	8.39112e+10
8.5	17.9968	741.842	1065.73	2.05376e+06	2.75803e+09	2.37037e+15	7.6091e+18	7.21276e+34	34910.3	8.20199e+10
8.75	17.9877	726.222	1049.78	1.9773e+06	2.92904e+09	2.4536e+15	8.58171e+18	8.42046e+34	33198.8	8.01178e+10
9	17.9619	713.681	1036.31	1.93647e+06	3.10296e+09	2.53762e+15	9.63087e+18	9.77379e+34	31719.2	7.83219e+10
9.25	17.8357	699.24	1017.35	1.85984e+06	3.27972e+09	2.6175e+15	1.07592e+19	1.12627e+35	30237.5	7.64794e+10
9.5	17.9943	686.106	1009.9	1.82742e+06	3.45918e+09	2.69625e+15	1.19686e+19	1.29058e+35	28888.8	7.46886e+10
9.75	17.9173	676.743	997.773	1.76614e+06	3.64125e+09	2.77252e+15	1.32615e+19	1.47046e+35	27763.9	7.29134e+10
10	17.9326	664.068	985.649	1.72546e+06	3.8258e+09	2.84818e+15	1.46396e+19	1.66758e+35	26562.8	7.12046e+10
