,pattern,J1,J2,J3,J4,J5,J6,J7,J8
0,c-1,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
1,c-10,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
2,c-11,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
3,c-12,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666
4,c-13,0.0,-1.3333333333333333,0.0,1.3333333333333333,0.0,-0.6666666666666666,0.0,0.6666666666666666
5,c-14,0.0,0.0,0.6666666666666666,-1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666
6,c-15,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.6666666666666665,0.6666666666666666
7,c-16,0.0,-0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
8,c-17,0.0,0.0,0.6666666666666666,-1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666
9,c-2,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666
10,c-3,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666
11,c-4,-0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
12,c-5,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
13,c-6,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666
14,c-7,0.0,-0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.3333333333333333,0.6666666666666666
15,c-8,0.0,-0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.3333333333333333,0.6666666666666666
16,c-9,0.0,0.0,0.6666666666666666,-1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666
17,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,nm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,z-1,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.6666666666666666,2.6666666666666665,0.6666666666666666
20,z-10,0.0,0.0,0.3333333333333333,-0.6666666666666666,0.0,-0.3333333333333333,0.3333333333333333,0.6666666666666666
21,z-11,-0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,-1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
22,z-12,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
23,z-13,0.0,0.0,0.0,-1.3333333333333333,0.0,-0.6666666666666666,0.0,0.6666666666666666
24,z-14,0.0,0.0,1.0,-0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666
25,z-15,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
26,z-16,0.0,-0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
27,z-17,0.0,0.0,0.6666666666666666,-1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666
28,z-18,-0.3333333333333333,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
29,z-2,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.6666666666666666
30,z-3,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666
31,z-4,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666
32,z-5,0.0,0.0,1.0,-0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666
33,z-6,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666
34,z-7,0.0,0.0,0.3333333333333333,-0.6666666666666666,0.0,-0.3333333333333333,0.3333333333333333,0.6666666666666666
35,z-8,0.0,0.0,0.6666666666666666,-1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666
36,z-9,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
